Sector,Company,Output,MSE,R2
COMMERCIAL BANKS,NBP,Output_3,0.005844,0.716772
COMMERCIAL BANKS,NBP,Output_4,0.020714,0.613448
COMMERCIAL BANKS,SBL,Output_1,0.027523,0.650265
COMMERCIAL BANKS,SBL,Output_2,0.031668,0.599088
COMMERCIAL BANKS,SBL,Output_3,0.046086,0.418061
COMMERCIAL BANKS,SBL,Output_4,0.106656,-0.612135
COMMERCIAL BANKS,SCBPL,Output_1,0.007024,0.855338
COMMERCIAL BANKS,SCBPL,Output_2,0.007814,0.841251
COMMERCIAL BANKS,SCBPL,Output_3,0.010496,0.794178
COMMERCIAL BANKS,SCBPL,Output_4,0.042046,0.405981
COMMERCIAL BANKS,SNBL,Output_1,0.005655,0.569527
COMMERCIAL BANKS,SNBL,Output_2,0.006392,0.529002
COMMERCIAL BANKS,SNBL,Output_3,0.008508,0.461639
COMMERCIAL BANKS,SNBL,Output_4,0.035691,0.290301
COMMERCIAL BANKS,UBL,Output_1,0.000919,0.909334
COMMERCIAL BANKS,UBL,Output_2,0.001028,0.903517
COMMERCIAL BANKS,UBL,Output_3,0.00195,0.850375
COMMERCIAL BANKS,UBL,Output_4,0.019913,0.536345
PHARMACEUTICALS,ABOT,Output_1,0.005965,0.759396
PHARMACEUTICALS,ABOT,Output_2,0.006083,0.758138
PHARMACEUTICALS,ABOT,Output_3,0.008891,0.676593
PHARMACEUTICALS,ABOT,Output_4,0.044856,0.213196
PHARMACEUTICALS,AGP,Output_1,0.005671,0.720531
PHARMACEUTICALS,AGP,Output_2,0.006779,0.669322
PHARMACEUTICALS,AGP,Output_3,0.007005,0.695365
PHARMACEUTICALS,AGP,Output_4,0.041636,0.201905
PHARMACEUTICALS,CPHL,Output_1,0.00154,0.555122
PHARMACEUTICALS,CPHL,Output_2,0.001343,0.625254
PHARMACEUTICALS,CPHL,Output_3,0.001721,0.610585
PHARMACEUTICALS,CPHL,Output_4,0.015956,0.735213
PHARMACEUTICALS,FEROZ,Output_1,0.012432,0.826797
