symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
NRSL,6 months,2026-January-21,42.82,13.14,4.97,37.85
UNITY,1 day,2025-July-26,25.57,-1.78,-0.46,26.03
UNITY,1 week,2025-August-01,30.54,17.33,4.51,26.03
UNITY,1 month,2025-August-24,25.59,-1.71,-0.44,26.03
UNITY,6 months,2026-January-21,30.09,15.59,4.06,26.03
LUCK,1 day,2025-July-26,826.37,130.48,467.83,358.54
LUCK,1 week,2025-August-01,719.47,100.67,360.93,358.54
LUCK,1 month,2025-August-24,790.74,120.54,432.2,358.54
LUCK,6 months,2026-January-21,624.7,74.23,266.16,358.54
SKRS,1 day,2025-July-26,12.3,-0.97,-0.12,12.42
SKRS,1 week,2025-August-01,12.75,2.63,0.33,12.42
SKRS,1 month,2025-August-24,12.14,-2.27,-0.28,12.42
SKRS,6 months,2026-January-21,14.97,20.57,2.55,12.42
JSMFETF,1 day,2025-July-26,10.21,-2.34,-0.24,10.45
JSMFETF,1 week,2025-August-01,10.45,0.04,0.0,10.45
JSMFETF,1 month,2025-August-24,4.69,-55.12,-5.76,10.45
JSMFETF,6 months,2026-January-21,4.15,-60.27,-6.3,10.45
AGL,1 day,2025-July-26,67.91,15.42,9.07,58.84
AGL,1 week,2025-August-01,62.46,6.16,3.62,58.84
AGL,1 month,2025-August-24,69.83,18.67,10.99,58.84
AGL,6 months,2026-January-21,79.07,34.39,20.23,58.84
HCAR,1 day,2025-July-26,295.18,-1.18,-3.52,298.7
HCAR,1 week,2025-August-01,312.02,4.46,13.32,298.7
HCAR,1 month,2025-August-24,293.68,-1.68,-5.02,298.7
HCAR,6 months,2026-January-21,317.41,6.26,18.71,298.7
FCL,1 day,2025-July-26,24.65,-1.52,-0.38,25.03
FCL,1 week,2025-August-01,23.87,-4.63,-1.16,25.03
FCL,1 month,2025-August-24,27.98,11.8,2.95,25.03
FCL,6 months,2026-January-21,34.32,37.1,9.29,25.03
EPCL,1 day,2025-July-26,36.41,11.06,3.63,32.78
EPCL,1 week,2025-August-01,28.8,-12.15,-3.98,32.78
